id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-021,Khidma Aamma Hospital,Hospital,General Hospital,Gaza,Gaza City,,,,General,Operational,,,,,View Hospital
FAC-022,Turkish Friendship Hospital,Hospital,Specialized Hospital,Gaza,Gaza City,31.47764767,34.41510105,272,Oncology / Specialized,Operational,Closed,,,,View Hospital
FAC-023,Al Helou International Hospital,Hospital,General Hospital,Gaza,Gaza City,31.52483101,34.44683415,6,General,Operational,Partial operation,,,,View Hospital
FAC-024,Al-Khair Hospital,Hospital,General Hospital,Khan Younis,Khan Younis,31.35412878,34.28044806,24,General,Operational,Closed,,,,View Hospital
FAC-025,Yafa Hospital,Hospital,General Hospital,Khan Younis,Khan Younis,31.41789593,34.34437103,5,General,Operational,Partial operation,,,,View Hospital
FAC-026,Palestine Medical Relief Center for the Rehabilitation of the Disabled,Hospital,Rehabilitation Center,Gaza,Gaza City,,,,Rehabilitation,Operational,,,,,View Hospital
FAC-027,Al Yaman Al Saeed Hospital,Hospital,General Hospital,Gaza,Gaza City,31.536356,34.4962551,,General,Under Construction,Closed,,Was under construction at time of targeting,,View Hospital
FAC-028,Patient Friends Association Hospital,Hospital,General Hospital,Gaza,Nusseirat,31.51721866,34.44481073,19,General,Operational,Partial operation,,,,View Hospital
FAC-029,Jordanian Field Hospital,Field Hospital,Field Hospital,Gaza,Gaza City,,,,General / Emergency,Operational,Operational,,Operated by Jordan,,View Hospital
FAC-030,Jordanian Field Hospital - Khan Yunis,Field Hospital,Field Hospital,Khan Younis,Khan Younis,,,,General / Emergency,Operational,,,"Operated by Jordan, Khan Yunis",,View Hospital
FAC-031,Red Cross Field Hospital,Field Hospital,Field Hospital,Gaza,Gaza City,,,,Emergency,Operational,,,Operated by ICRC,,View Hospital
FAC-032,Red Cross Field Hospital - Rafah,Field Hospital,Field Hospital,Rafah,Rafah,,,,Emergency,Operational,Operational,,"Operated by ICRC, Rafah","https://assets.redcross.org.uk/82b1e254-5524-0172-0612-9ce813c7824c/739c1a41-498c-4ebd-818c-0d35a7db8ee2/RS48910-Israel-and-Occupied-Palestinian-Territory-Appeal-ICRC-Field-Hospital-in-Rafah-Gaza.jpg?w=735&h=413&fit=clip&rect=1,0,1918,1080&auto=format",View Hospital
FAC-033,Emirates Crescent Hospital,Field Hospital,Field Hospital,Rafah,Rafah,31.30651675,34.2454233,38,General / Emergency,Operational,Closed,,Operated by UAE,,View Hospital
FAC-034,Al Quds Field Hospital,Field Hospital,Field Hospital,Rafah,Rafah,,,na,General / Emergency,Operational,Unknown,,Operated by PCRS,,View Hospital
FAC-035,Kuwait Specialty Hospital,Field Hospital,Field Hospital,Rafah,Rafah,31.28816025,34.24914832,20,General / Emergency,Operational,Closed,,Operated by Kuwait,,View Hospital
FAC-036,UAE Field Hospital,Field Hospital,Field Hospital,Rafah,Rafah,31.276651,34.256357,,General / Emergency,Operational,Closed,,Operated by UAE,,View Hospital
FAC-037,International Medical Corps Field Hospital,Field Hospital,Field Hospital,Rafah,Rafah,,,,General / Emergency,Operational,,,160-bed facility operated by IMC,,View Hospital
FAC-038,UNRWA Health Centre,Clinic,Health Centre,Gaza,Gaza City,,,,Primary Care,Operational,,,"Operated by UNRWA. Pre war there were 22 UNRWA health centres throughout Gaza. Since 7 October 2023 the number of centres that were operational changed month to month. Additionally, temporary health centres were established to meet increased demand, with an additional 5 facilities set up throughout the war (total of 27), although not all were oparational.",,View Hospital
FAC-039,Primary Care Clinic,Clinic,Primary Care Clinic,Gaza,Gaza City,,,,Primary Care,Operational,,,,,View Hospital
FAC-040,MSF Premise 01,Clinic,MSF Facility,Gaza,Gaza City,,,,Emergency / Trauma,Operational,,,Operated by MSF,,View Hospital
